record_type,player_id,school,season,jersey,name,position,is_goalkeeper,class_year,hometown,height,weight,previous_school,game_id,date,opponent,score,location,conference,division,games_played,games_started,minutes,goals,assists,shots,shots_on_goal,fouls,yellow_cards,red_cards,saves,goals_against,save_percentage,shutouts
player_game_stat,Harding_2024_player_2,Harding,2024,,,,,,,,,,Harding_2024_game_007,10/12/24,FORT HAYS ST.,,,,,*,0,0 ,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_2,Harding,2024,,,,,,,,,,Harding_2024_game_008,10/17/24,at Ouachita,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_2,Harding,2024,,,,,,,,,,Harding_2024_game_009,10/19/24,ROGERS ST.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_2,Harding,2024,,,,,,,,,,Harding_2024_game_010,10/24/24,at Fort Hays St.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_2,Harding,2024,,,,,,,,,,Harding_2024_game_011,10/26/24,at Newman,,,,,*,*,0,0,0,0,0,0,0,0,,,,
game,,Harding,2024,,,,,,,,,,Harding_2024_game_013,11/02/24,at Southern Nazarene,0-3,,Great American Conference,Division II,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_2,Harding,2024,,,,,,,,,,Harding_2024_game_013,11/02/24,at Southern Nazarene,,,,,*,*,0,0,0,0,0,0,0,0,,,,
game,,Harding,2024,,,,,,,,,,Harding_2024_game_014,11/07/24,OUACHITA,3-0,,Great American Conference,Division II,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_2,Harding,2024,,,,,,,,,,Harding_2024_game_014,11/07/24,OUACHITA,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_2,Harding,2024,,,,,,,,,,Harding_2024_game_012,11/09/24,at Northeastern St.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player,Harding_2024_player_3,Harding,2024,3,Jacob Hernandez,Field Player,false,,,,,,,,,,,,,,,,,,,,,,,,,,
game,,Harding,2024,,,,,,,,,,Harding_2024_game_015,09/07/24,CHRISTIAN BROTHERS,1-3,,Great American Conference,Division II,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_3,Harding,2024,,,,,,,,,,Harding_2024_game_015,09/07/24,CHRISTIAN BROTHERS,,,,,*,*,0,0,0,0,0,0,0,0,,,,
player_game_stat,Harding_2024_player_3,Harding,2024,,,,,,,,,,Harding_2024_game_002,09/10/24,MISSISSIPPI COL.,,,,,*,*,0,0,0,0,0,0,0,0,,,,
game,,Harding,2024,,,,,,,,,,Harding_2024_game_016,09/19/24,at DBU,1-1,,Great American Conference,Division II,,,,,,,,,,,,,,
player_game_stat,Harding_2024_player_3,Harding,2024,,,,,,,,,,Harding_2024_game_016,09/19/24,at DBU,,,,,*,*,0,0,0,0,0,0,0,0,,,,
